County FIPS Code,State,County Name,New,Auto,Active,Total Plan Selections
2013,AK,Aleutians East Borough,25,,,29
2016,AK,Aleutians West Census Area,16,,,34
2020,AK,Anchorage Municipality,4698,1181,2869,8748
2050,AK,Bethel Census Area,46,22,15,83
2060,AK,Bristol Bay Borough,17,,,29
2068,AK,Denali Borough,55,23,85,163
2070,AK,Dillingham Census Area,24,,,39
2090,AK,Fairbanks North Star Borough,1088,335,691,2114
2100,AK,Haines Borough,98,29,139,266
2105,AK,Hoonah-Angoon Census Area,37,17,65,119
2110,AK,Juneau City and Borough,518,175,385,1078
2122,AK,Kenai Peninsula Borough,1225,289,1014,2528
2130,AK,Ketchikan Gateway Borough,239,73,189,501
2150,AK,Kodiak Island Borough,495,57,154,706
2164,AK,Lake and Peninsula Borough,17,,,36
2170,AK,Matanuska-Susitna Borough,1557,343,1034,2934
2180,AK,Nome Census Area,32,16,13,61
2185,AK,North Slope Borough,30,,,35
2188,AK,Northwest Arctic Borough,,,,15
2195,AK,Petersburg Census Area,107,30,74,211
2198,AK,Prince of Wales-Hyder Census Area,40,18,44,102
2220,AK,Sitka City and Borough,204,66,207,477
2230,AK,Skagway Municipality,91,12,58,161
2240,AK,Southeast Fairbanks Census Area,79,11,63,153
2261,AK,Valdez-Cordova Census Area,213,79,170,462
2270,AK,Wade Hampton Census Area,,0,,19
2275,AK,Wrangell City and Borough,27,14,41,82
2282,AK,Yakutat City and Borough,,,,12
2290,AK,Yukon-Koyukuk Census Area,37,,,59
1001,AL,Autauga County,984,370,382,1736
1003,AL,Baldwin County,4916,1974,2794,9684
1005,AL,Barbour County,449,160,196,805
1007,AL,Bibb County,303,118,136,557
1009,AL,Blount County,966,335,531,1832
1011,AL,Bullock County,147,82,63,292
1013,AL,Butler County,448,119,147,714
1015,AL,Calhoun County,1968,685,872,3525
1017,AL,Chambers County,544,221,248,1013
1019,AL,Cherokee County,407,139,213,759
1021,AL,Chilton County,884,358,484,1726
1023,AL,Choctaw County,316,137,120,573
1025,AL,Clarke County,647,166,188,1001
1027,AL,Clay County,201,98,124,423
1029,AL,Cleburne County,289,113,114,516
1031,AL,Coffee County,707,263,341,1311
1033,AL,Colbert County,959,321,531,1811
1035,AL,Conecuh County,272,152,135,559
1037,AL,Coosa County,210,53,100,363
1039,AL,Covington County,689,228,322,1239
1041,AL,Crenshaw County,237,103,142,482
1043,AL,Cullman County,1593,495,717,2805
1045,AL,Dale County,716,301,276,1293
1047,AL,Dallas County,926,290,306,1522
1049,AL,DeKalb County,1348,553,791,2692
1051,AL,Elmore County,1343,496,539,2378
1053,AL,Escambia County,588,204,224,1016
1055,AL,Etowah County,2206,762,1056,4024
1057,AL,Fayette County,261,102,111,474
1059,AL,Franklin County,463,199,238,900
1061,AL,Geneva County,480,194,224,898
1063,AL,Greene County,154,93,64,311
1065,AL,Hale County,275,111,119,505
1067,AL,Henry County,333,177,158,668
1069,AL,Houston County,1983,842,962,3787
1071,AL,Jackson County,951,418,473,1842
1073,AL,Jefferson County,13231,4999,5662,23892
1075,AL,Lamar County,215,95,132,442
1077,AL,Lauderdale County,1702,648,969,3319
1079,AL,Lawrence County,740,225,311,1276
1081,AL,Lee County,2613,976,1243,4832
1083,AL,Limestone County,1451,660,729,2840
1085,AL,Lowndes County,289,82,79,450
1087,AL,Macon County,401,139,155,695
1089,AL,Madison County,6860,2917,3615,13392
1091,AL,Marengo County,430,130,146,706
1093,AL,Marion County,511,180,245,936
1095,AL,Marshall County,1707,647,880,3234
1097,AL,Mobile County,9766,4179,4098,18043
1099,AL,Monroe County,516,200,215,931
1101,AL,Montgomery County,5064,1545,1749,8358
1103,AL,Morgan County,2356,764,1189,4309
1105,AL,Perry County,190,75,58,323
1107,AL,Pickens County,296,114,132,542
1109,AL,Pike County,512,174,187,873
1111,AL,Randolph County,388,151,211,750
1113,AL,Russell County,1016,386,365,1767
1115,AL,St. Clair County,1564,506,693,2763
1117,AL,Shelby County,3525,1527,2196,7248
1119,AL,Sumter County,257,124,102,483
1121,AL,Talladega County,1295,463,572,2330
1123,AL,Tallapoosa County,791,288,373,1452
1125,AL,Tuscaloosa County,3012,1200,1322,5534
1127,AL,Walker County,1160,388,473,2021
1129,AL,Washington County,288,102,143,533
